REGION,WEEK,YEAR,TOTAL,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B,SEASON
New Mexico,47,2016,236.0,1.0,0.0,0.42,0.42,0.0,FALL
New York,47,2016,1672.0,30.0,3.0,1.97,1.79,0.18,FALL
North Carolina,47,2016,287.0,2.0,3.0,1.74,0.7,1.05,FALL
North Dakota,47,2016,29.0,0.0,0.0,0.0,0.0,0.0,FALL
Ohio,47,2016,1215.0,10.0,7.0,1.4,0.82,0.58,FALL
Oklahoma,47,2016,182.0,1.0,0.0,0.55,0.55,0.0,FALL
Oregon,47,2016,357.0,58.0,0.0,16.25,16.25,0.0,FALL
Pennsylvania,47,2016,431.0,2.0,2.0,0.93,0.46,0.46,FALL
South Carolina,47,2016,239.0,1.0,4.0,2.09,0.42,1.67,FALL
South Dakota,47,2016,121.0,0.0,0.0,0.0,0.0,0.0,FALL
Tennessee,47,2016,197.0,2.0,3.0,2.54,1.02,1.52,FALL
Texas,47,2016,1537.0,17.0,16.0,2.15,1.11,1.04,FALL
Utah,47,2016,549.0,16.0,0.0,2.91,2.91,0.0,FALL
